year,japanese,english,publisher,image
1983,1983,,Kadokawa Shoten,1983.jpg
1984,1984/05,,Kadokawa Shoten,198405.jpg
1984,1984/07,,Kadokawa Shoten,198407.jpg
1984,1984/09,,Kadokawa Shoten,198409.jpg
1984,1984/11,,Kadokawa Shoten,198411.jpg
1985,1985/01,,Kadokawa Shoten,198501.jpg
1985,1985/03,,Kadokawa Shoten,198503.jpg
1985,1985/05,,Kadokawa Shoten,198505.jpg
1985,1985/07,,Kadokawa Shoten,198507.jpg
1985,1985/09,,Kadokawa Shoten,198509.jpg
1985,1985/11,,Kadokawa Shoten,198511.jpg
1986,1986/01,,Kadokawa Shoten,198601.jpg
1986,1986/02,,Kadokawa Shoten,198602.jpg
1986,1986/03,,Kadokawa Shoten,198603.jpg
1986,1986/04,,Kadokawa Shoten,198604.jpg
1986,1986/05,,Kadokawa Shoten,198605.jpg
1986,1986/06,,Kadokawa Shoten,198606.jpg
1986,1986/07,,Kadokawa Shoten,198607.jpg
1986,1986/08,,Kadokawa Shoten,198608.jpg
1986,1986/09,,Kadokawa Shoten,198609.jpg
1986,1986/10,,Kadokawa Shoten,198610.jpg
1986,1986/11,,Kadokawa Shoten,198611.jpg
1986,1986/12,,Kadokawa Shoten,198612.jpg
1987,1987/01,,Kadokawa Shoten,198701.jpg
1987,1987/02,,Kadokawa Shoten,198702.jpg
1987,1987/03,,Kadokawa Shoten,198703.jpg
1987,1987/04,,Kadokawa Shoten,198704.jpg
1987,1987/05,,Kadokawa Shoten,198705.jpg
1987,1987/06,,Kadokawa Shoten,198706.jpg
1987,1987/07,,Kadokawa Shoten,198707.jpg
1987,1987/08,,Kadokawa Shoten,198708.jpg
1987,1987/09,,Kadokawa Shoten,198709.jpg
1987,1987/10,,Kadokawa Shoten,198710.jpg
1987,1987/11,,Kadokawa Shoten,198711.jpg
1987,1987/12,,Kadokawa Shoten,198712.jpg
