year,japanese,english,publisher,image,product_type,product_code
1994,ナイツ・ダーク・テラー,Night's Dark Terror,Media Works,b10.jpg,scenario,1-9
1995,キングズ・フェスティバル,King'sFestival,Media Works,b11.jpg,scenario,1-4
1996,クイーンズ・ハーベスト,Queen's Harvest,Media Works,b12.jpg,scenario,1-6
1994, ダンジョンマスターズD&Dルールサイクロペディア②,Dungeon Master's D&D Rules Cyclopedia 2,Media Works,dungeon_masters.jpg,rulebook,1-2
1994,ダンジョン アンド ズドラゴンズ マスタースクリーン,Dungeons & Dragons Master Screen,Media Works,master_screen.jpg,supplement,
1994, モンスターズD&Dルールサイクロペディア③,Monsters D&D Rules Cyclopedia 3,Media Works,monsters.jpg,rulebook,1-3
1994,プレイヤーズD&Dルールサイクロペディア① ,Players' D&D Rules Cyclopedia 1,Media Works,players.jpg,rulebook,1-1
1995,ミスタラ黙示録 (1)―D&Dリプレイ,Mystara Apocalypse D&D Replay 1,Media Works,replay1.jpg,replay,1-5
1995,ミスタラ黙示録 (2)―D&Dリプレイ,Mystara Apocalypse D&D Replay 2,Media Works,replay2.jpg,replay,1-7
1996,ミスタラ黙示録 (3)―D&Dリプレイ,Mystara Apocalypse D&D Replay 3,Media Works,replay3.jpg,replay,1-8
1996,ミスタラ黙示録 (4)―D&Dリプレイ,Mystara Apocalypse D&D Replay 4,Media Works,replay4.jpg,replay,1-10
1997,ミスタラ黙示録 (5)―D&Dリプレイ,Mystara Apocalypse D&D Replay 5,Media Works,replay5.jpg,replay,1-11
1993,ダンジョンズ＆ドラゴンズ入門の書≪改訂版≫,Dungeons & Dragons Introductory Book <<Revised>>,Media Works,yoku_wakaru.jpg,replay,5-1
